"File","Line","Column","Message"
"src\components\Admin\AdminProjectsList.jsx","78","10","'loading' is assigned a value but never used."
"src\components\Listings\ProjectCard.jsx","9","33","'index' is defined but never used."
"src\components\Profile\ConnectionsTab.jsx","1","8","'React' is defined but never used."
"src\components\Profile\FreelanceTab.jsx","1","8","'React' is defined but never used."
"src\components\Profile\ProfileStats.jsx","1","8","'React' is defined but never used."
"src\components\shared\CompactCalendarView.jsx","4","46","'currentDate' is defined but never used."
"src\components\shared\DetailedCalendarView.jsx","7","3","'currentDate' is defined but never used."
"src\components\shared\FormInput.jsx","97","3","'className' is defined but never used."
"src\components\shared\FormInput.jsx","100","3","'errorClassName' is defined but never used."
"src\components\shared\ProjectFilterPanel.jsx","33","9","'getStatusColor' is assigned a value but never used."
"src\components\shared\SearchBar.jsx","9","11","'searchTerm' is assigned a value but never used."
"src\components\shared\SortIndicatorBadge.jsx","4","51","'onSortChange' is defined but never used."
"src\components\shared\SortResultsHeader.jsx","12","9","'currentSortLabel' is assigned a value but never used."
"src\hooks\useAvailability.js","20","26","'_' is assigned a value but never used."
"src\modal\CreateAnnouncementModal.jsx","1","8","'React' is defined but never used."
"src\modal\DirectContactModal.jsx","1","8","'React' is defined but never used."
"src\modal\HireFreelancerModal.jsx","1","8","'React' is defined but never used."
"src\modal\ProjectModal.jsx","36","9","'isDraftEdit' is assigned a value but never used."
"src\modal\ProjectModal.jsx","41","11","'currentUser' is assigned a value but never used."
"src\modal\ProjectModal.jsx","41","24","'loading' is assigned a value but never used."
"src\modal\ProjectModal.jsx","332","13","'createdProject' is assigned a value but never used."
"src\modal\ProjectModal.jsx","342","14","'error' is defined but never used."
"src\modal\ProjectModal.jsx","372","13","'savedDraft' is assigned a value but never used."
"src\modal\ProjectModal.jsx","382","14","'err' is defined but never used."
"src\modal\RatingModal.jsx","1","8","'React' is defined but never used."
"src\modal\RatingModal.jsx","6","10","'patterns' is defined but never used."
"src\modal\RescheduleModal.jsx","11","9","'currentDeadline' is assigned a value but never used."
"src\modal\ReviewProjectModal.jsx","8","10","'patterns' is defined but never used."
"src\modal\ReviewProjectModal.jsx","41","14","'error' is defined but never used."
"src\modal\SubmitProjectModal.jsx","7","10","'patterns' is defined but never used."
"src\modal\SubmitProjectModal.jsx","71","14","'error' is defined but never used."
"src\pages\About.jsx","8","10","'getSectionBackgroundClass' is defined but never used."
"src\pages\About.jsx","74","9","'aboutSectionBackgrounds' is assigned a value but never used."
"src\pages\Analytics.jsx","3","10","'FaClipboardList' is defined but never used."
"src\pages\Analytics.jsx","3","27","'FaShieldAlt' is defined but never used."
"src\pages\FilteredProjectsView.jsx","15","29","'trackExport' is defined but never used."
"src\pages\FilteredProjectsView.jsx","19","9","'navigate' is assigned a value but never used."
"src\pages\Login.jsx","4","17","'ToastContainer' is defined but never used."
"src\pages\Profile.jsx","1","8","'React' is defined but never used."
"src\pages\Profile.jsx","23","50","'isFullAdmin' is defined but never used."
"src\pages\ProjectDetail.jsx","119","85","'setRateError' is assigned a value but never used."
"src\pages\Register.jsx","4","10","'FaLock' is defined but never used."
"src\pages\Register.jsx","6","10","'toast' is defined but never used."
"src\pages\Register.jsx","6","17","'ToastContainer' is defined but never used."
"src\pages\UserDetail.jsx","1","8","'React' is defined but never used."
"src\pages\UserDetail.jsx","4","31","'FaPhone' is defined but never used."
"src\pages\UserDetail.jsx","4","40","'FaEnvelope' is defined but never used."
"src\pages\UserDetail.jsx","4","111","'FaTools' is defined but never used."
"src\services\messageService.js","1","8","'axios' is defined but never used."
